bedroom|bathroom|garage|parking|erf-size|building-size|price
2|2|1|NaN|74 m²|74 m²|R1,644,000
1|1|NaN|NaN|NaN|49 m²|R1,630,000
1|1|NaN|NaN|NaN|49 m²|R1,630,000
2|1|NaN|NaN|4,701 m²|NaN|R1,625,000
1|1|NaN|1|NaN|42 m²|R1,625,000
1|1|NaN|NaN|NaN|42 m²|R1,600,000
3|1|1|NaN|NaN|81 m²|R1,600,000
3|1|NaN|NaN|248 m²|NaN|R1,600,000
1|1|NaN|1|NaN|53 m²|R1,600,000
1|1|NaN|1|NaN|42 m²|R1,600,000
1|1|NaN|1|NaN|56 m²|R1,595,000
2|2|NaN|2|NaN|65 m²|R1,595,000
2|1.5|1|NaN|NaN|86 m²|R1,595,000
3|2|1|1|103 m²|103 m²|R1,590,000
3|1|NaN|NaN|437 m²|128 m²|R1,590,000
1|1|NaN|1|NaN|38 m²|R1,586,000
2|1|NaN|NaN|NaN|56 m²|R1,575,000
3|1|2|NaN|300 m²|123 m²|R1,570,000
2|1|1|NaN|NaN|71 m²|R1,550,000
1|1|NaN|NaN|60 m²|60 m²|R1,550,000
1|1|NaN|1|NaN|49 m²|R1,550,000
3|1|4|NaN|389 m²|NaN|R1,550,000
4|3|NaN|NaN|548 m²|NaN|R1,550,000
3|1|1|NaN|230 m²|NaN|R1,550,000
3|2|1|NaN|304 m²|NaN|R1,540,000
2|1|NaN|1|18,688 m²|74 m²|R1,535,000
3|1|1|NaN|NaN|100 m²|R1,500,000
3|2|2|NaN|382 m²|132 m²|R1,500,000
3|1|1|NaN|311 m²|NaN|R1,500,000
1|1|NaN|1|NaN|61 m²|R1,500,000
1|1|NaN|NaN|5,873 m²|60 m²|R1,495,000
2|1|NaN|1|NaN|62 m²|R1,495,000
2|1|NaN|NaN|105 m²|NaN|R1,495,000
2|2|NaN|1|NaN|65 m²|R1,495,000
2|1|NaN|1|NaN|69 m²|R1,495,000
3|1|1|1|253 m²|100 m²|R1,495,000
1|1|NaN|1|NaN|47 m²|R1,495,000
2|2|NaN|NaN|NaN|65 m²|R1,490,000
2|2.5|NaN|1|NaN|100 m²|R1,480,000
3|1|1|1|216 m²|90 m²|R1,475,000
3|1|1|6|313 m²|NaN|R1,450,000
3|1|1|NaN|240 m²|93 m²|R1,450,000
3|1|1|NaN|265 m²|NaN|R1,450,000
2|1|2|NaN|287 m²|NaN|R1,449,000
2|1|1|NaN|NaN|64 m²|R1,445,000
3|1|NaN|NaN|314 m²|NaN|R1,420,000
2|1|NaN|NaN|NaN|59 m²|R1,420,000
1|1|NaN|NaN|NaN|38 m²|R1,415,000
3|1|2|NaN|184 m²|129 m²|R1,400,000
1|1|NaN|NaN|408 m²|39 m²|R1,400,000
1|1|NaN|NaN|NaN|50 m²|R1,400,000
1|1|1|1|74 m²|65 m²|R1,400,000
4|2|1|NaN|249 m²|NaN|R1,400,000
2|2|1|NaN|85 m²|85 m²|R1,399,000
2|2|1|1|NaN|76 m²|R1,399,000
5|3|3|NaN|360 m²|NaN|R1,399,000
1|1|NaN|NaN|NaN|35 m²|R1,395,000
2|1|1|5|267 m²|NaN|R1,395,000
1|1|1|NaN|49 m²|49 m²|R1,395,000
1|1|NaN|NaN|NaN|79 m²|R1,395,000
2|1|NaN|1|NaN|51 m²|R1,395,000
1|1|NaN|1|NaN|45 m²|R1,395,000
2|1|NaN|NaN|NaN|59 m²|R1,370,000
3|2|1|1|250 m²|NaN|R1,350,000
1|1|NaN|NaN|NaN|42 m²|R1,350,000
3|2|1|NaN|285 m²|NaN|R1,350,000
NaN|1|NaN|NaN|198 m²|NaN|R1,350,000
1|1|NaN|1|43 m²|41 m²|R1,350,000
1|1|NaN|1|NaN|41 m²|R1,350,000
3|2|1|NaN|265 m²|96 m²|R1,350,000
1|1|NaN|NaN|NaN|58 m²|R1,350,000
5|3|2|2|344 m²|NaN|R1,350,000
3|1|1|NaN|240 m²|NaN|R1,350,000
2|2|NaN|2|91 m²|91 m²|R1,350,000
2|1|NaN|2|NaN|61 m²|R1,349,000
1|1|NaN|1|60 m²|60 m²|R1,329,000
1|1|NaN|NaN|NaN|66 m²|R1,325,000
3|2|1|1|110 m²|110 m²|R1,315,000
3|1|1|NaN|355 m²|NaN|R1,300,000
2|1|1|NaN|NaN|63 m²|R1,300,000
3|1|NaN|1|213 m²|NaN|R1,300,000
3|1|NaN|1|184 m²|NaN|R1,300,000
1|1|NaN|NaN|80 m²|NaN|R1,300,000
NaN|1|NaN|NaN|NaN|43 m²|R1,299,995
1|1|NaN|1|36 m²|36 m²|R1,295,000
NaN|1|NaN|NaN|NaN|51 m²|R1,295,000
1|1|NaN|1|12,241 m²|36 m²|R1,295,000
NaN|1|NaN|NaN|NaN|47 m²|R1,295,000
2|1|1|NaN|112 m²|100 m²|R1,295,000
NaN|1|NaN|1|51 m²|51 m²|R1,295,000
2|2|1|1|6,650 m²|106 m²|R1,295,000
1|1|NaN|1|NaN|52 m²|R1,295,000
1|1|NaN|NaN|NaN|37 m²|R1,295,000
NaN|1|NaN|NaN|NaN|53 m²|R1,295,000
4|2|2|NaN|286 m²|NaN|R1,295,000
2|1|NaN|NaN|NaN|64 m²|R1,295,000
1|1|NaN|1|12,241 m²|44 m²|R1,295,000
3|1|2|5|249 m²|NaN|R1,290,000
2|1.5|NaN|NaN|NaN|89 m²|R1,285,000
3|2|2|NaN|264 m²|130 m²|R1,280,000
2|1|NaN|2|81 m²|81 m²|R1,280,000
3|1|NaN|NaN|181 m²|NaN|R1,280,000
2|1|NaN|1|62 m²|62 m²|R1,270,000
3|1|NaN|1|100 m²|NaN|R1,250,000
3|1|NaN|2|269 m²|NaN|R1,250,000
2|1|NaN|1|60 m²|60 m²|R1,250,000
4|4|1|NaN|220 m²|NaN|R1,250,000
2|1|1|1|2,558 m²|66 m²|R1,250,000
3|1|NaN|1|100 m²|NaN|R1,250,000
3|1|NaN|NaN|270 m²|NaN|R1,239,999
2|1|NaN|1|NaN|46 m²|R1,237,000
2|1|NaN|1|NaN|56 m²|R1,225,000
1|1|NaN|NaN|NaN|64 m²|R1,225,000
2|1|NaN|1|2,481 m²|57 m²|R1,215,000
2|1|NaN|2|58 m²|58 m²|R1,202,900
2|1|NaN|NaN|1,487 m²|NaN|R1,200,000
NaN|2|NaN|NaN|744 m²|NaN|R1,200,000
3|1|1|NaN|226 m²|NaN|R1,200,000
NaN|1|NaN|NaN|24 m²|24 m²|R1,199,995
2|1|NaN|1|NaN|56 m²|R1,199,000
NaN|1|NaN|NaN|NaN|32 m²|R1,195,000
2|1|NaN|1|81 m²|81 m²|R1,195,000
1|1|NaN|NaN|NaN|75 m²|R1,195,000
1|1|NaN|NaN|NaN|46 m²|R1,195,000
2|1|NaN|1|NaN|55 m²|R1,195,000
2|1|NaN|NaN|59 m²|59 m²|R1,195,000
2|1|NaN|NaN|82 m²|82 m²|R1,195,000
NaN|1|NaN|NaN|NaN|37 m²|R1,185,000
3|1|NaN|NaN|167 m²|NaN|R1,180,000
2|1|NaN|1|1,111 m²|45 m²|R1,179,000
2|1.5|NaN|NaN|82 m²|82 m²|R1,175,000
4|1|NaN|3|245 m²|NaN|R1,160,000
1|1|NaN|NaN|NaN|48 m²|R1,150,000
3|1|NaN|NaN|206 m²|NaN|R1,150,000
1|1|NaN|1|39 m²|39 m²|R1,150,000
3|1|2|NaN|336 m²|NaN|R1,150,000
2|1|NaN|NaN|NaN|71 m²|R1,150,000
1|1|NaN|NaN|54 m²|54 m²|R1,125,000
3|1|2|NaN|278 m²|NaN|R1,100,000
2|1|NaN|1|NaN|52 m²|R1,100,000
NaN|1|NaN|1|NaN|41 m²|R1,100,000
1|1|NaN|NaN|NaN|40 m²|R1,100,000
2|1.5|1|NaN|NaN|86 m²|R1,095,000
1|1|1|1|NaN|61 m²|R1,095,000
1|1|NaN|NaN|NaN|46 m²|R1,095,000
2|1|NaN|1|NaN|56 m²|R1,095,000
1|1|NaN|1|44 m²|44 m²|R1,080,000
3|1|2|NaN|167 m²|NaN|R1,080,000
2|1|NaN|1|3,695 m²|45 m²|R1,060,500
2|1|2|NaN|196 m²|NaN|R1,050,000
2|1|NaN|NaN|7,633 m²|63 m²|R1,050,000
1|1|NaN|1|NaN|44 m²|R1,050,000
2|1|NaN|NaN|NaN|66 m²|R1,050,000
3|1|NaN|NaN|267 m²|NaN|R1,050,000
1|1|NaN|1|NaN|43 m²|R1,050,000
1|1|NaN|NaN|NaN|46 m²|R1,050,000
1|1|NaN|NaN|NaN|44 m²|R1,050,000
3|2|3|NaN|278 m²|126 m²|R1,050,000
NaN|1|NaN|1|NaN|25 m²|R1,050,000
1|1|NaN|1|NaN|38 m²|R1,050,000
2|2|NaN|1|NaN|68 m²|R1,040,000
3|1|NaN|NaN|207 m²|NaN|R1,029,000
1|1|NaN|1|NaN|32 m²|R1,000,000
NaN|1|NaN|NaN|NaN|45 m²|R1,000,000
1|1|NaN|NaN|NaN|32 m²|R1,000,000
1|1|NaN|1|NaN|47 m²|R1,000,000
4|1|NaN|NaN|161 m²|NaN|R999,000
1|1|NaN|NaN|NaN|61 m²|R999,000
1|1|NaN|1|44 m²|44 m²|R995,000
1|1|NaN|NaN|NaN|42 m²|R995,000
1|1|NaN|1|44 m²|44 m²|R990,000
3|1|1|NaN|217 m²|NaN|R980,000
2|1|NaN|NaN|253 m²|71 m²|R980,000
4|1|NaN|NaN|120 m²|NaN|R980,000
2|1|NaN|1|NaN|53 m²|R980,000
1|1|NaN|1|64 m²|64 m²|R975,000
5|1|NaN|NaN|117 m²|NaN|R960,000
1|1|NaN|1|NaN|35 m²|R950,000
1|1|NaN|1|NaN|31 m²|R950,000
1|1|NaN|NaN|NaN|44 m²|R950,000
NaN|1|NaN|NaN|NaN|31 m²|R950,000
1|1|NaN|NaN|145 m²|51 m²|R950,000
3|1|NaN|NaN|240 m²|NaN|R950,000
4|2|2|NaN|168 m²|NaN|R950,000
4|3|NaN|NaN|200 m²|NaN|R950,000
4|1|2|NaN|153 m²|NaN|R949,000
1|1|NaN|NaN|NaN|33 m²|R930,000
1|1|1|NaN|NaN|35 m²|R920,000
3|1|3|NaN|181 m²|NaN|R900,000
2|1|2|NaN|199 m²|NaN|R899,000
3|1|1|NaN|201 m²|NaN|R899,000
1|1|NaN|NaN|36 m²|36 m²|R895,000
2|1|NaN|1|NaN|50 m²|R895,000
1|1|NaN|NaN|34 m²|34 m²|R895,000
2|1|NaN|1|50 m²|50 m²|R889,000
2|1|NaN|NaN|528 m²|NaN|R880,000
2|1|NaN|1|50 m²|50 m²|R865,000
2|1|NaN|1|NaN|50 m²|R859,000
3|1|NaN|NaN|320 m²|NaN|R850,000
1|1|NaN|1|31 m²|31 m²|R850,000
1|1|NaN|NaN|34 m²|34 m²|R850,000
2|1|NaN|NaN|253 m²|NaN|R850,000
4|1|2|NaN|137 m²|NaN|R849,999
2|1|NaN|NaN|215 m²|NaN|R849,000
2|1|NaN|1|50 m²|50 m²|R839,000
2|1|NaN|NaN|163 m²|NaN|R829,000
2|1|NaN|NaN|120 m²|NaN|R825,000
3|1|NaN|NaN|167 m²|NaN|R825,000
1|1|1|NaN|57 m²|57 m²|R825,000
2|1|NaN|1|NaN|52 m²|R820,000
3|1|NaN|NaN|140 m²|60 m²|R820,000
NaN|1|NaN|NaN|46 m²|46 m²|R800,000
3|1|NaN|NaN|110 m²|NaN|R799,999
2|1|NaN|NaN|176 m²|NaN|R799,999
2|1|NaN|NaN|305 m²|NaN|R799,000
1|1|NaN|1|NaN|35 m²|R799,000
2|1|NaN|1|NaN|50 m²|R795,000
3|1|NaN|NaN|143 m²|NaN|R790,000
1|1|NaN|1|32 m²|32 m²|R780,000
3|1|NaN|NaN|85 m²|NaN|R780,000
4|3|NaN|1|101 m²|96 m²|R780,000
3|1|NaN|2|135 m²|NaN|R780,000
1|1.5|1|NaN|NaN|68 m²|R780,000
3|1|2|NaN|73 m²|NaN|R770,000
2|1|NaN|1|NaN|54 m²|R770,000
1|1|NaN|1|NaN|29 m²|R765,000
3|1|NaN|NaN|190 m²|NaN|R760,000
3|1|1|4|220 m²|NaN|R760,000
2|1|1|NaN|NaN|66 m²|R750,000
3|1|NaN|NaN|178 m²|NaN|R750,000
2|1|NaN|NaN|92 m²|NaN|R749,000
3|1|NaN|NaN|144 m²|NaN|R749,000
3|1|3|NaN|175 m²|NaN|R749,000
3|1|4|NaN|148 m²|NaN|R740,000
3|1|NaN|2|201 m²|NaN|R720,000
1|1|NaN|NaN|NaN|28 m²|R720,000
2|1|NaN|1|NaN|40 m²|R720,000
1|1|NaN|1|NaN|58 m²|R699,000
5|1|NaN|NaN|225 m²|NaN|R695,000
1|1|NaN|1|NaN|43 m²|R695,000
2|1|NaN|NaN|NaN|54 m²|R695,000
2|1|NaN|2|2,220 m²|52 m²|R680,000
3|1|NaN|NaN|140 m²|NaN|R680,000
3|1|NaN|NaN|144 m²|NaN|R680,000
2|1|NaN|NaN|10,264 m²|38 m²|R670,000
3|1|NaN|NaN|144 m²|NaN|R660,000
3|1|NaN|NaN|150 m²|NaN|R650,000
2|1|NaN|2|54 m²|NaN|R629,990
2|1|NaN|NaN|269 m²|NaN|R600,000
1|1|NaN|NaN|NaN|20 m²|R595,000
1|1|NaN|NaN|NaN|35 m²|R595,000
2|1|NaN|NaN|82 m²|NaN|R565,000
2|1|NaN|NaN|96 m²|NaN|R550,000
2|1|NaN|NaN|100 m²|NaN|R549,000
2|1|1|NaN|144 m²|NaN|R460,000
4|1|NaN|2|135 m²|80 m²|R450,000
3|1|NaN|NaN|248 m²|NaN|R420,000
3|1|NaN|NaN|148 m²|NaN|R400,000
3|1|NaN|NaN|144 m²|NaN|R395,000
1|1|NaN|NaN|34 m²|34 m²|R390,000
1|1|NaN|NaN|34 m²|34 m²|R370,000
