bedroom|bathroom|garage|parking|erf-size|building-size|price
3|3.5|NaN|2|NaN|282 m²|R13,750,000
1|1|NaN|NaN|NaN|83 m²|R13,500,000
3|2.5|NaN|2|NaN|165 m²|R13,500,000
4|4|2|NaN|903 m²|350 m²|R13,500,000
5|2|4|NaN|842 m²|626 m²|R13,500,000
2|2|NaN|2|NaN|157 m²|R13,500,000
4|4|1|NaN|NaN|252 m²|R13,495,000
4|4.5|2|NaN|941 m²|402 m²|R13,495,000
5|4|3|NaN|866 m²|490 m²|R13,450,000
4|4|NaN|NaN|810 m²|NaN|R13,450,000
4|4.5|2|NaN|625 m²|520 m²|R13,395,000
5|5|3|NaN|924 m²|720 m²|R13,195,000
4|2.5|1|1|NaN|247 m²|R12,995,000
5|4|4|NaN|948 m²|NaN|R12,950,000
2|2|NaN|2|NaN|160 m²|R12,950,000
3|4|NaN|2|NaN|282 m²|R12,850,000
4|5|4|4|1,029 m²|NaN|R12,850,000
2|2|NaN|2|154 m²|154 m²|R12,800,000
4|4.5|2|NaN|524 m²|410 m²|R12,750,000
4|3.5|2|NaN|763 m²|385 m²|R12,500,000
5|5|2|NaN|790 m²|650 m²|R12,500,000
2|2|NaN|2|NaN|299 m²|R12,500,000
3|3|NaN|NaN|187 m²|187 m²|R12,500,000
4|2|2|NaN|828 m²|NaN|R12,500,000
3|3|2|NaN|NaN|254 m²|R12,500,000
3|3.5|2|NaN|447 m²|NaN|R12,500,000
4|3|2|NaN|1,311 m²|NaN|R12,500,000
6|4.5|2|NaN|1,009 m²|381 m²|R12,500,000
4|4|2|NaN|1,180 m²|381 m²|R12,495,000
5|4|2|NaN|956 m²|NaN|R12,495,000
4|3|2|NaN|409 m²|NaN|R12,495,000
4|4.5|2|NaN|571 m²|387 m²|R12,495,000
4|4|2|NaN|608 m²|402 m²|R12,495,000
4|4.5|NaN|NaN|477 m²|430 m²|R12,250,000
4|4|NaN|2|374 m²|374 m²|R12,000,000
4|3|1|2|NaN|266 m²|R12,000,000
5|4|2|NaN|752 m²|645 m²|R11,995,000
4|3|2|NaN|1,200 m²|NaN|R11,995,000
4|5|4|NaN|1,228 m²|1,000 m²|R11,995,000
6|6.5|3|NaN|2,386 m²|480 m²|R11,995,000
2|2|2|NaN|NaN|203 m²|R11,995,000
4|3|1|NaN|597 m²|NaN|R11,985,000
6|5|2|NaN|1,575 m²|NaN|R11,950,000
3|3|NaN|NaN|594 m²|275 m²|R11,900,000
4|3|2|NaN|806 m²|NaN|R11,800,000
8|8|6|NaN|716 m²|NaN|R11,750,000
1|1|NaN|1|NaN|115 m²|R11,500,000
4|3|2|NaN|649 m²|580 m²|R11,500,000
3|3|2|NaN|3,240 m²|370 m²|R11,500,000
2|2.5|NaN|2|NaN|125 m²|R11,495,000
6|4.5|4|NaN|430 m²|NaN|R11,495,000
5|4|2|6|908 m²|404 m²|R11,450,000
2|2.5|NaN|2|NaN|179 m²|R11,250,000
3|2|2|NaN|NaN|458 m²|R11,000,000
2|2|NaN|1|270 m²|NaN|R11,000,000
4|2.5|2|NaN|397 m²|NaN|R10,995,000
2|2|NaN|2|NaN|127 m²|R10,995,000
7|7|2|NaN|634 m²|450 m²|R10,995,000
2|2|NaN|2|NaN|124 m²|R10,995,000
3|4|NaN|2|NaN|130 m²|R10,995,000
4|4|2|3|495 m²|397 m²|R10,995,000
3|2.5|1|NaN|575 m²|318 m²|R10,950,000
2|2.5|2|1|NaN|189 m²|R10,950,000
4|4|2|NaN|1,148 m²|NaN|R10,950,000
4|2|1|NaN|1,071 m²|NaN|R10,950,000
2|1|NaN|1|NaN|94 m²|R10,950,000
5|3|2|NaN|1,117 m²|NaN|R10,950,000
